Album,Artist,Week,Rank
Magical Mystery Tour (Soundtrack),The Beatles,1,1
Their Satanic Majesties Request,The Rolling Stones,1,2
"Pisces, Aquarius, Capricorn, And Jones Ltd.",The Monkees,1,3
Diana Ross And The Supremes Greatest Hits,Diana Ross & The Supremes,1,4
Sgt. Pepper's Lonely Hearts Club Band,The Beatles,1,5
Doctor Zhivago,Soundtrack,1,6
The Sound Of Music,Soundtrack,1,7
Farewell To The First Golden Era,The Mamas & The Papas,1,8
Strange Days,The Doors,1,9
"Love, Andy",Andy Williams,1,10
Incense And Peppermints,Strawberry Alarm Clock,1,11
Simply Streisand,Barbra Streisand,1,12
A Day In The Life,Wes Montgomery,1,13
It Must Be Him,Vikki Carr,1,14
Herb Alpert's Ninth,Herb Alpert & The Tijuana Brass,1,15
Disraeli Gears,Cream,1,16
"Dionne Warwick's Golden Hits, Part One",Dionne Warwick,1,17
The Turtles! Golden Hits,The Turtles,1,18
Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass,1,19
Are You Experienced?,Jimi Hendrix,1,20
The Four Tops Greatest Hits,Four Tops,1,21
"To Sir, With Love",Soundtrack,1,22
The Doors,The Doors,1,23
Camelot,Soundtrack,1,24
Release Me,Engelbert Humperdinck,1,25
Sounds Like...,Herb Alpert & The Tijuana Brass,1,26
Headquarters,The Monkees,1,27
The Temptations Greatest Hits,The Temptations,1,28
!!Going Places!!,Herb Alpert & The Tijuana Brass,1,29
Vanilla Fudge,Vanilla Fudge,1,30
The Last Waltz,Engelbert Humperdinck,1,31
The Cowsills,The Cowsills,1,32
Gone With The Wind,Soundtrack,1,33
Bee Gees' 1st,Bee Gees,1,34
Born Free,Andy Williams,1,35
Ode To Billie Joe,Bobbie Gentry,1,36
Groovin',The Rascals,1,37
After Bathing At Baxter's,Jefferson Airplane,1,38
To Sir With Love,Lulu,1,39
Hawaiian Album,Ray Conniff,1,40
Aretha Arrives,Aretha Franklin,1,41
More Of The Monkees,The Monkees,1,42
A Man And A Woman,Soundtrack,1,43
Buffalo Springfield Again,The Buffalo Springfield,1,44
All Mitch Ryder Hits!,Mitch Ryder And The Detroit Wheels,1,45
For A Few Dollars More And Other Motion Picture Themes,L,1,46
The Byrds' Greatest Hits,The Byrds,1,47
Welcome To My World,Dean Martin,1,48
Ravi Shankar At The Monterey International Pop Festival,Ravi Shankar,1,49
Revenge,Bill Cosby,1,50
When The Snow Is On The Roses,Ed Ames,1,51
Insight Out,The Association,1,52
SRO,Herb Alpert & The Tijuana Brass,1,53
The Best Of Wilson Pickett,Wilson Pickett,1,54
Clambake,Elvis Presley,1,55
Alice's Restaurant,Soundtrack,1,56
I Never Loved A Man The Way I Love You,Aretha Franklin,1,57
With Love - Cher,Cher,1,58
Fresh Cream,Cream,1,59
Surrealistic Pillow,Jefferson Airplane,1,60
With A Lot O' Soul,The Temptations,1,61
The Look Of Love,Claudine Longet,1,62
Dancing In The Street,Ramsey Lewis,1,63
Smiley Smile,The Beach Boys,1,64
Soul Men,Sam & Dave,1,65
Respect,Jimmy Smith,1,66
Mary In The Morning,Al Martino,1,67
What Now My Love,Herb Alpert & The Tijuana Brass,1,68
Album 1700,"Peter, Paul & Mary",1,69
Bill Cosby Sings/Silver Throat,Bill Cosby,1,70
"The Lettermen!!!...And ""Live!""",The Lettermen,1,71
Man Of La Mancha,Original Cast,1,72
Make It Happen,The Miracles,1,73
The Windows Of The World,Dionne Warwick,1,74
The Temptations In A Mellow Mood,The Temptations,1,75
Claudine,Claudine Longet,1,76
Anything Goes,Harpers Bizarre,1,77
Bob Dylan's Greatest Hits,Bob Dylan,1,78
Doctor Dolittle,Soundtrack,1,79
Lonely Bull,Herb Alpert & The Tijuana Brass,1,80
My Cup Runneth Over,Ed Ames,1,81
The Best Of The Lovin' Spoonful,The Lovin' Spoonful,1,82
Snoopy And His Friends,The Royal Guardsmen,1,83
Thoroughly Modern Millie,Soundtrack,1,84
The Monkees,The Monkees,1,85
"Bill Cosby Is A Very Funny Fellow, Right!",Bill Cosby,1,86
The Best Of The Animals,The Animals,1,87
A Kind Of Hush,John Davidson,1,88
The Sea,San Sebastian,1,89
United,Tammi Terrell,1,90
Pata Pata,Miriam Makeba,1,91
Fiddler On The Roof,Original Cast,1,92
The Mamas & The Papas Deliver,The Mamas & The Papas,1,93
I Started Out As A Child,Bill Cosby,1,94
The Best Of Eddy Arnold,Eddy Arnold,1,95
South Of The Border,Herb Alpert & The Tijuana Brass,1,96
Super Hits,Various Artists,1,97
Here Where There Is Love,Dionne Warwick,1,98
Wonderfulness,Bill Cosby,1,99
I-Feel-Like-I'm-Fixin'-To-Die,Country Joe & The Fish,1,100
Sergio Mendes & Brasil '66,Sergio Mendes,1,101
Why Is There Air?,Bill Cosby,1,102
Equinox,Sergio Mendes,1,103
The Letter / Neon Rainbow,The Box Tops,1,104
Four Tops Reach Out,Four Tops,1,105
The Best Of Sonny & Cher,Sonny & Cher,1,106
Groovin' With The Soulful Strings,The Soulful Strings,1,107
Turn The World Around,Eddy Arnold,1,108
Mantovani/Hollywood,Mantovani,1,109
Golden Greats By The Ventures,The Ventures,1,110
Please Love Me Forever,Bobby Vinton,1,111
Flowers,The Rolling Stones,1,112
The Hollies' Greatest Hits,The Hollies,1,113
This Is My Song,Ray Conniff,1,114
"$1,000,000.00 Weekend",The Ventures,1,115
Everybody Needs Love,Gladys Knight And The Pips,1,116
Greatest Hits,The Righteous Brothers,1,117
"Up, Up And Away",Johnny Mathis,1,118
These Are My Songs,Petula Clark,1,119
The Best Of Wes Montgomery,Wes Montgomery,1,120
If You Can Believe Your Eyes And Ears,The Mamas & The Papas,1,121
Jim Nabors By Request,Jim Nabors,1,122
The Mamas & The Papas,The Mamas & The Papas,1,123
Cold Sweat,James Brown,1,124
"Up, Up And Away",The 5th Dimension,1,125
Clear Light,Clear Light,1,126
Frank Sinatra,Frank Sinatra,1,127
Hip Hug-Her,Booker T. & The MG's,1,128
"Apples, Peaches, Pumpkin Pie",Jay And The Techniques,1,129
Electric Music For The Mind And Body,Country Joe & The Fish,1,130
That's Lou,Lou Rawls,1,131
"Country, My Way",Nancy Sinatra,1,132
Joan,Joan Baez,1,133
Lush Life,Nancy Wilson,1,134
The Look Of Love,Dusty Springfield,1,135
The Voice Of Scott McKenzie,Scott McKenzie,1,136
Greatest Hits,Paul Revere & The Raiders,1,137
A Man And His Soul,Ray Charles,1,138
Golden Hits,Roger Williams,1,139
"Evergreen, Vol. 2",Stone Poneys Featuring Linda Ronstadt,1,140
Temptations Live!,The Temptations,1,141
A Gift From A Flower To A Garden,Donovan,1,142
When The Whistle Blows Anything Goes,Soul Survivors,1,143
The Who Sell Out,The Who,1,144
Wildflowers,Judy Collins,1,145
Encore! More Of The Concert Sound Of Henry Mancini,Henry Mancini,1,146
A Fistful Of Dollars,Soundtrack,1,147
Without Her,Jack Jones,1,148
The Piper At The Gates Of Dawn,Pink Floyd,1,149
Eydie Gorme's Greatest Hits,Eydie Gorme,1,150
That's Life,Frank Sinatra,1,151
Heads Up!,Baja Marimba Band,1,152
Revolver,The Beatles,1,153
Born Free,Roger Williams,1,154
Winds Of Change,The Animals,1,155
"Time, Time",Ed Ames,1,156
Collage,Noel Harrison,1,157
Mantovani's Golden Hits,Mantovani,1,158
Big Hits (High Tide And Green Grass),The Rolling Stones,1,159
"Parsley, Sage, Rosemary And Thyme",Simon & Garfunkel,1,160
Wild Honey,The Beach Boys,1,161
Get That Feeling,Jimi Hendrix,1,162
Wear Your Love Like Heaven,Donovan,1,163
Blooming Hits,Paul Mauriat And His Orchestra,1,164
Ray Charles Invites You To Listen,Ray Charles,1,165
Just For You,Neil Diamond,1,166
You Only Live Twice,Soundtrack,1,167
King Size Soul,King Curtis,1,168
By The Time I Get To Phoenix,Glen Campbell,1,169
Pleasures Of The Harbor,Phil Ochs,1,170
Somewhere My Love,Ray Conniff,1,171
Johnny's Greatest Hits,Johnny Mathis,1,172
Today's Themes For Young Lovers,Percy Faith,1,173
The Wild Angels,Davie Allan And The Arrows,1,174
Yardbirds Greatest Hits,The Yardbirds,1,175
The Flying Nun,Sally Field,1,176
Procol Harum,Procol Harum,1,177
Between The Buttons,The Rolling Stones,1,178
"16 Original Big Hits, Volume 7",Various Artists,1,179
For All The Seasons Of Your Mind,Janis Ian,1,180
The John Gary Carnegie Hall Concert,John Gary,1,181
The Impossible Dream,Jack Jones,1,182
History Of Otis Redding,Otis Redding,1,183
The Best Of The Beach Boys,The Beach Boys,1,184
Collections,The Rascals,1,185
"Best Of The Beach Boys, Vol. 2",The Beach Boys,1,186
Honey & Wine,Glenn Yarbrough,1,187
Explosive Brass Impact,War,1,188
Revolution!,Paul Revere & The Raiders,1,189
Cry Young,Ahmad Jamal,1,190
Music From Mission: Impossible,Lalo Schifrin,1,191
Canned Heat,Canned Heat,1,192
The Velvet Underground & Nico,The Velvet Underground & Nico,1,193
Cowboys & Colored People,FLiP,1,194
Camelot,Original Cast Recording,1,195
"16 Original Big Hits, Volume 8",Various Artists,1,196
Forever Changes,Love,1,197
Mass In F Minor,The Electric Prunes,1,198
Hugh Masekela Is Alive And Well At The Whisky,Hugh Masekela,1,199
Child Of Clay,Jimmie Rodgers,1,200
Magical Mystery Tour (Soundtrack),The Beatles,2,1
Their Satanic Majesties Request,The Rolling Stones,2,2
"Pisces, Aquarius, Capricorn, And Jones Ltd.",The Monkees,2,3
Diana Ross And The Supremes Greatest Hits,Diana Ross & The Supremes,2,4
Sgt. Pepper's Lonely Hearts Club Band,The Beatles,2,5
Doctor Zhivago,Soundtrack,2,6
The Sound Of Music,Soundtrack,2,7
Herb Alpert's Ninth,Herb Alpert & The Tijuana Brass,2,8
Farewell To The First Golden Era,The Mamas & The Papas,2,9
"Love, Andy",Andy Williams,2,10
Incense And Peppermints,Strawberry Alarm Clock,2,11
Simply Streisand,Barbra Streisand,2,12
The Turtles! Golden Hits,The Turtles,2,13
It Must Be Him,Vikki Carr,2,14
Disraeli Gears,Cream,2,15
A Day In The Life,Wes Montgomery,2,16
"Dionne Warwick's Golden Hits, Part One",Dionne Warwick,2,17
Strange Days,The Doors,2,18
Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass,2,19
Camelot,Soundtrack,2,20
Are You Experienced?,Jimi Hendrix,2,21
The Temptations Greatest Hits,The Temptations,2,22
Sounds Like...,Herb Alpert & The Tijuana Brass,2,23
The Last Waltz,Engelbert Humperdinck,2,24
Headquarters,The Monkees,2,25
Release Me,Engelbert Humperdinck,2,26
The Four Tops Greatest Hits,Four Tops,2,27
!!Going Places!!,Herb Alpert & The Tijuana Brass,2,28
"To Sir, With Love",Soundtrack,2,29
The Doors,The Doors,2,30
The Cowsills,The Cowsills,2,31
Gone With The Wind,Soundtrack,2,32
After Bathing At Baxter's,Jefferson Airplane,2,33
Bee Gees' 1st,Bee Gees,2,34
Born Free,Andy Williams,2,35
Ode To Billie Joe,Bobbie Gentry,2,36
To Sir With Love,Lulu,2,37
More Of The Monkees,The Monkees,2,38
Hawaiian Album,Ray Conniff,2,39
Vanilla Fudge,Vanilla Fudge,2,40
Groovin',The Rascals,2,41
When The Snow Is On The Roses,Ed Ames,2,42
All Mitch Ryder Hits!,Mitch Ryder And The Detroit Wheels,2,43
The Byrds' Greatest Hits,The Byrds,2,44
Revenge,Bill Cosby,2,45
A Man And A Woman,Soundtrack,2,46
Welcome To My World,Dean Martin,2,47
Ravi Shankar At The Monterey International Pop Festival,Ravi Shankar,2,48
The Best Of Wilson Pickett,Wilson Pickett,2,49
Clambake,Elvis Presley,2,50
Alice's Restaurant,Soundtrack,2,51
Buffalo Springfield Again,The Buffalo Springfield,2,52
Insight Out,The Association,2,53
Aretha Arrives,Aretha Franklin,2,54
With Love - Cher,Cher,2,55
SRO,Herb Alpert & The Tijuana Brass,2,56
Surrealistic Pillow,Jefferson Airplane,2,57
"The Lettermen!!!...And ""Live!""",The Lettermen,2,58
Fresh Cream,Cream,2,59
What Now My Love,Herb Alpert & The Tijuana Brass,2,60
For A Few Dollars More And Other Motion Picture Themes,L,2,61
Soul Men,Sam & Dave,2,62
Dancing In The Street,Ramsey Lewis,2,63
The Temptations In A Mellow Mood,The Temptations,2,64
I Never Loved A Man The Way I Love You,Aretha Franklin,2,65
Mary In The Morning,Al Martino,2,66
Bill Cosby Sings/Silver Throat,Bill Cosby,2,67
The Look Of Love,Claudine Longet,2,68
Album 1700,"Peter, Paul & Mary",2,69
Man Of La Mancha,Original Cast,2,70
Snoopy And His Friends,The Royal Guardsmen,2,71
Smiley Smile,The Beach Boys,2,72
The Windows Of The World,Dionne Warwick,2,73
Respect,Jimmy Smith,2,74
Make It Happen,The Miracles,2,75
Doctor Dolittle,Soundtrack,2,76
Bob Dylan's Greatest Hits,Bob Dylan,2,77
Claudine,Claudine Longet,2,78
My Cup Runneth Over,Ed Ames,2,79
Pata Pata,Miriam Makeba,2,80
Anything Goes,Harpers Bizarre,2,81
The Sea,San Sebastian,2,82
The Monkees,The Monkees,2,83
"Bill Cosby Is A Very Funny Fellow, Right!",Bill Cosby,2,84
The Best Of The Lovin' Spoonful,The Lovin' Spoonful,2,85
The Best Of The Animals,The Animals,2,86
United,Tammi Terrell,2,87
The Best Of Eddy Arnold,Eddy Arnold,2,88
I-Feel-Like-I'm-Fixin'-To-Die,Country Joe & The Fish,2,89
A Kind Of Hush,John Davidson,2,90
Wonderfulness,Bill Cosby,2,91
South Of The Border,Herb Alpert & The Tijuana Brass,2,92
I Started Out As A Child,Bill Cosby,2,93
Please Love Me Forever,Bobby Vinton,2,94
Lonely Bull,Herb Alpert & The Tijuana Brass,2,95
Thoroughly Modern Millie,Soundtrack,2,96
The Mamas & The Papas Deliver,The Mamas & The Papas,2,97
Sergio Mendes & Brasil '66,Sergio Mendes,2,98
With A Lot O' Soul,The Temptations,2,99
The Letter / Neon Rainbow,The Box Tops,2,100
Here Where There Is Love,Dionne Warwick,2,101
Why Is There Air?,Bill Cosby,2,102
Groovin' With The Soulful Strings,The Soulful Strings,2,103
Four Tops Reach Out,Four Tops,2,104
The Best Of Sonny & Cher,Sonny & Cher,2,105
The Hollies' Greatest Hits,The Hollies,2,106
Turn The World Around,Eddy Arnold,2,107
"$1,000,000.00 Weekend",The Ventures,2,108
Equinox,Sergio Mendes,2,109
Everybody Needs Love,Gladys Knight And The Pips,2,110
Golden Greats By The Ventures,The Ventures,2,111
Flowers,The Rolling Stones,2,112
This Is My Song,Ray Conniff,2,113
"Up, Up And Away",Johnny Mathis,2,114
Super Hits,Various Artists,2,115
Greatest Hits,The Righteous Brothers,2,116
Wildflowers,Judy Collins,2,117
Fiddler On The Roof,Original Cast,2,118
Mantovani/Hollywood,Mantovani,2,119
The Best Of Wes Montgomery,Wes Montgomery,2,120
"The Best Of Herman's Hermits, Volume III",Herman's Hermits,2,121
If You Can Believe Your Eyes And Ears,The Mamas & The Papas,2,122
These Are My Songs,Petula Clark,2,123
Jim Nabors By Request,Jim Nabors,2,124
Electric Music For The Mind And Body,Country Joe & The Fish,2,125
A Gift From A Flower To A Garden,Donovan,2,126
The Voice Of Scott McKenzie,Scott McKenzie,2,127
Greatest Hits,Paul Revere & The Raiders,2,128
The Who Sell Out,The Who,2,129
Frank Sinatra,Frank Sinatra,2,130
The Mamas & The Papas,The Mamas & The Papas,2,131
Get That Feeling,Jimi Hendrix,2,132
"Evergreen, Vol. 2",Stone Poneys Featuring Linda Ronstadt,2,133
Blooming Hits,Paul Mauriat And His Orchestra,2,134
A Man And His Soul,Ray Charles,2,135
