Species,Id,Part,Length,Width
setosa,1,Petal,1.4,0.2
setosa,1,Sepal,5.1,3.5
setosa,2,Petal,1.4,0.2
setosa,2,Sepal,4.9,3
setosa,3,Petal,1.3,0.2
setosa,3,Sepal,4.7,3.2
setosa,4,Petal,1.5,0.2
setosa,4,Sepal,4.6,3.1
setosa,5,Petal,1.4,0.2
setosa,5,Sepal,5,3.6
setosa,6,Petal,1.7,0.4
setosa,6,Sepal,5.4,3.9
setosa,7,Petal,1.4,0.3
setosa,7,Sepal,4.6,3.4
setosa,8,Petal,1.5,0.2
setosa,8,Sepal,5,3.4
setosa,9,Petal,1.4,0.2
setosa,9,Sepal,4.4,2.9
setosa,10,Petal,1.5,0.1
setosa,10,Sepal,4.9,3.1
setosa,11,Petal,1.5,0.2
setosa,11,Sepal,5.4,3.7
setosa,12,Petal,1.6,0.2
setosa,12,Sepal,4.8,3.4
setosa,13,Petal,1.4,0.1
setosa,13,Sepal,4.8,3
setosa,14,Petal,1.1,0.1
setosa,14,Sepal,4.3,3
setosa,15,Petal,1.2,0.2
setosa,15,Sepal,5.8,4
setosa,16,Petal,1.5,0.4
setosa,16,Sepal,5.7,4.4
setosa,17,Petal,1.3,0.4
setosa,17,Sepal,5.4,3.9
setosa,18,Petal,1.4,0.3
setosa,18,Sepal,5.1,3.5
setosa,19,Petal,1.7,0.3
setosa,19,Sepal,5.7,3.8
setosa,20,Petal,1.5,0.3
setosa,20,Sepal,5.1,3.8
setosa,21,Petal,1.7,0.2
setosa,21,Sepal,5.4,3.4
setosa,22,Petal,1.5,0.4
setosa,22,Sepal,5.1,3.7
setosa,23,Petal,1,0.2
setosa,23,Sepal,4.6,3.6
setosa,24,Petal,1.7,0.5
setosa,24,Sepal,5.1,3.3
setosa,25,Petal,1.9,0.2
setosa,25,Sepal,4.8,3.4
setosa,26,Petal,1.6,0.2
setosa,26,Sepal,5,3
setosa,27,Petal,1.6,0.4
setosa,27,Sepal,5,3.4
setosa,28,Petal,1.5,0.2
setosa,28,Sepal,5.2,3.5
setosa,29,Petal,1.4,0.2
setosa,29,Sepal,5.2,3.4
setosa,30,Petal,1.6,0.2
setosa,30,Sepal,4.7,3.2
setosa,31,Petal,1.6,0.2
setosa,31,Sepal,4.8,3.1
setosa,32,Petal,1.5,0.4
setosa,32,Sepal,5.4,3.4
setosa,33,Petal,1.5,0.1
setosa,33,Sepal,5.2,4.1
setosa,34,Petal,1.4,0.2
setosa,34,Sepal,5.5,4.2
setosa,35,Petal,1.5,0.2
setosa,35,Sepal,4.9,3.1
setosa,36,Petal,1.2,0.2
setosa,36,Sepal,5,3.2
setosa,37,Petal,1.3,0.2
setosa,37,Sepal,5.5,3.5
setosa,38,Petal,1.4,0.1
setosa,38,Sepal,4.9,3.6
setosa,39,Petal,1.3,0.2
setosa,39,Sepal,4.4,3
setosa,40,Petal,1.5,0.2
setosa,40,Sepal,5.1,3.4
setosa,41,Petal,1.3,0.3
setosa,41,Sepal,5,3.5
setosa,42,Petal,1.3,0.3
setosa,42,Sepal,4.5,2.3
setosa,43,Petal,1.3,0.2
setosa,43,Sepal,4.4,3.2
setosa,44,Petal,1.6,0.6
setosa,44,Sepal,5,3.5
setosa,45,Petal,1.9,0.4
setosa,45,Sepal,5.1,3.8
setosa,46,Petal,1.4,0.3
setosa,46,Sepal,4.8,3
setosa,47,Petal,1.6,0.2
setosa,47,Sepal,5.1,3.8
setosa,48,Petal,1.4,0.2
setosa,48,Sepal,4.6,3.2
setosa,49,Petal,1.5,0.2
setosa,49,Sepal,5.3,3.7
setosa,50,Petal,1.4,0.2
setosa,50,Sepal,5,3.3
versicolor,51,Petal,4.7,1.4
versicolor,51,Sepal,7,3.2
versicolor,52,Petal,4.5,1.5
versicolor,52,Sepal,6.4,3.2
versicolor,53,Petal,4.9,1.5
versicolor,53,Sepal,6.9,3.1
versicolor,54,Petal,4,1.3
versicolor,54,Sepal,5.5,2.3
versicolor,55,Petal,4.6,1.5
versicolor,55,Sepal,6.5,2.8
versicolor,56,Petal,4.5,1.3
versicolor,56,Sepal,5.7,2.8
versicolor,57,Petal,4.7,1.6
versicolor,57,Sepal,6.3,3.3
versicolor,58,Petal,3.3,1
versicolor,58,Sepal,4.9,2.4
versicolor,59,Petal,4.6,1.3
versicolor,59,Sepal,6.6,2.9
versicolor,60,Petal,3.9,1.4
versicolor,60,Sepal,5.2,2.7
versicolor,61,Petal,3.5,1
versicolor,61,Sepal,5,2
versicolor,62,Petal,4.2,1.5
versicolor,62,Sepal,5.9,3
versicolor,63,Petal,4,1
versicolor,63,Sepal,6,2.2
versicolor,64,Petal,4.7,1.4
versicolor,64,Sepal,6.1,2.9
versicolor,65,Petal,3.6,1.3
versicolor,65,Sepal,5.6,2.9
versicolor,66,Petal,4.4,1.4
versicolor,66,Sepal,6.7,3.1
versicolor,67,Petal,4.5,1.5
versicolor,67,Sepal,5.6,3
versicolor,68,Petal,4.1,1
versicolor,68,Sepal,5.8,2.7
versicolor,69,Petal,4.5,1.5
versicolor,69,Sepal,6.2,2.2
versicolor,70,Petal,3.9,1.1
versicolor,70,Sepal,5.6,2.5
versicolor,71,Petal,4.8,1.8
versicolor,71,Sepal,5.9,3.2
versicolor,72,Petal,4,1.3
versicolor,72,Sepal,6.1,2.8
versicolor,73,Petal,4.9,1.5
versicolor,73,Sepal,6.3,2.5
versicolor,74,Petal,4.7,1.2
versicolor,74,Sepal,6.1,2.8
versicolor,75,Petal,4.3,1.3
versicolor,75,Sepal,6.4,2.9
versicolor,76,Petal,4.4,1.4
versicolor,76,Sepal,6.6,3
versicolor,77,Petal,4.8,1.4
versicolor,77,Sepal,6.8,2.8
versicolor,78,Petal,5,1.7
versicolor,78,Sepal,6.7,3
versicolor,79,Petal,4.5,1.5
versicolor,79,Sepal,6,2.9
versicolor,80,Petal,3.5,1
versicolor,80,Sepal,5.7,2.6
versicolor,81,Petal,3.8,1.1
versicolor,81,Sepal,5.5,2.4
versicolor,82,Petal,3.7,1
versicolor,82,Sepal,5.5,2.4
versicolor,83,Petal,3.9,1.2
versicolor,83,Sepal,5.8,2.7
versicolor,84,Petal,5.1,1.6
versicolor,84,Sepal,6,2.7
versicolor,85,Petal,4.5,1.5
versicolor,85,Sepal,5.4,3
versicolor,86,Petal,4.5,1.6
versicolor,86,Sepal,6,3.4
versicolor,87,Petal,4.7,1.5
versicolor,87,Sepal,6.7,3.1
versicolor,88,Petal,4.4,1.3
versicolor,88,Sepal,6.3,2.3
versicolor,89,Petal,4.1,1.3
versicolor,89,Sepal,5.6,3
versicolor,90,Petal,4,1.3
versicolor,90,Sepal,5.5,2.5
versicolor,91,Petal,4.4,1.2
versicolor,91,Sepal,5.5,2.6
versicolor,92,Petal,4.6,1.4
versicolor,92,Sepal,6.1,3
versicolor,93,Petal,4,1.2
versicolor,93,Sepal,5.8,2.6
versicolor,94,Petal,3.3,1
versicolor,94,Sepal,5,2.3
versicolor,95,Petal,4.2,1.3
versicolor,95,Sepal,5.6,2.7
versicolor,96,Petal,4.2,1.2
versicolor,96,Sepal,5.7,3
versicolor,97,Petal,4.2,1.3
versicolor,97,Sepal,5.7,2.9
versicolor,98,Petal,4.3,1.3
versicolor,98,Sepal,6.2,2.9
versicolor,99,Petal,3,1.1
versicolor,99,Sepal,5.1,2.5
versicolor,100,Petal,4.1,1.3
versicolor,100,Sepal,5.7,2.8
