Country,Prizes
United States of America,276
Germany,89
United Kingdom,88
France,56
Poland,30
Russia,30
Sweden,30
Japan,29
Italy,20
Austria,19
Netherlands,19
Canada,18
Switzerland,17
Norway,13
China,12
Denmark,12
Australia,11
Belgium,9
Hungary,9
Scotland,9
South Africa,9
India,8
Spain,7
Czech Republic,6
Egypt,6
Israel,6
Finland,5
Ireland,5
Northern Ireland,5
Romania,5
Ukraine,5
Argentina,4
Belarus,4
Pakistan,4
Algeria,3
Lithuania,3
Mexico,3
New Zealand,3
Portugal,3
Turkey,3
Bosnia and Herzegovina,2
Chile,2
Colombia,2
East Timor,2
Guatemala,2
Iran,2
Liberia,2
Luxembourg,2
Morocco,2
Saint Lucia,2
South Korea,2
Azerbaijan,1
Bangladesh,1
Brazil,1
Bulgaria,1
Costa Rica,1
Croatia,1
Cyprus,1
Ghana,1
Greece,1
Guadeloupe Island,1
Iceland,1
Indonesia,1
Kenya,1
Latvia,1
Madagascar,1
Myanmar,1
Nigeria,1
Peru,1
Republic of Macedonia,1
Slovakia,1
Slovenia,1
Taiwan,1
Tibet (People's Republic of China),1
Trinidad,1
Venezuela,1
Vietnam,1
Yemen,1
Zimbabwe,1
